"","Reference_restr","Author_restr","Source_restr"
"342","Evaluation of the program to eliminate lymphatic filariasis in Vanuatu following two years of mass drug administration implementation: results and methodologic approach","Fraser M, Taleo G, Taleo F, Yaviong J, Amos M, Babu M and Kalkoa M","Published paper"
"343","[Lymphatic filariasis in Vanuatu]","Bouree P, Sauvagnac B and Montaville B","Published paper"
"344","Progress towards, and challenges for, the elimination of filariasis from Pacific-island communities","Burkot TR, Taleo G, Toeaso V and Ichimori K","Published paper"
"345","[Wuchereria bancrofti human aperiodic filariasis in French territory of Wallis and Futuna (author's transl)]","Fauran P, Lacoste J, Combes D, Marcille P and Charpin M","Published paper"
"346","Programme to Eliminate Lymphatic Filariasis. COD0006_LF2013","DR Congo Ministry of Health","Report"
"347","Programme to Eliminate Lymphatic Filariasis. ETH0007_LF2013","Ethiopia Ministry of Health","Report"
"348","Evidence for the exacerbation of lymphedema of geochemical origin, podoconiosis, by onchocerciasis","Cho-Ngwa F, Amambua AN, Ambele MA and Titanji VP","Published paper"
"349","Elephantiasis of non-filarial origin (podoconiosis) in the highlands of north-western Cameroon","Wanji S, Tendongfor N, Esum M, Che JN, Mand S, Tanga Mbi C, Enyong P and Hoerauf A","Published paper"
"350","[Prevalence of Bancroftian filariasis in seven villages of the Bonassama Health District in the Wouri Estuary, littoral province of Cameroon]","Moyou-Somo R, Ouambe MA, Fon E and Bema J","Published paper"
"351","Rural bancroftian filariasis in north-western Cameroon: parasitological and clinical studies","Ivoke N","Published paper"
"352","[Epidemiology of filariasis (onchocerciasis and bancroftosis) in the Tala-Mokolo region (Mandara Mountains of North Cameroon)]","Marceau C, Couprie B, Combe A, Same-Ekobo A, Tribouley J, Puel V, Piquemal A and Ripert C","Published paper"
"353","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; CAF0001_LF2009","Central African Republic Ministry of Health","Report"
"354","[Bancroft's filariasis in Anjouan (Comoro Islands)]","Charafoudine H and Pesson B","Published paper"
"355","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; COM0001_LF2002","Comoros Ministry of Health","Report"
"356","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; COM0004_LF2003","Comoros Ministry of Health","Report"
"357","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; COM0003_LF2007","Comoros Ministry of Health","Report"
"358","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; COM0005_LF2001","Comoros Ministry of Health","Report"
"359","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; LBR0001_LF2012","Liberia Ministry of Health","Report"
"360","Filarial Antigenemia and Loa loa Night Blood Microfilaremia in an Area Without Bancroftian Filariasis in the Democratic Republic of Congo","Bakajika DK, Nigo MM, Lotsima JP, Masikini GA, Fischer K, Lloyd MM, Weil GJ and Fischer PU","Published paper"
